n,m,dims,k,time_dist,time_sort,serial_parallel,distance_function,sort_function
25000,450,2,5,0.053521,0.198427,parallel,manhattan,merge
30000,50,2,5,0.026619,0.426268,serial,manhattan,merge
30000,50,2,5,0.009303,0.036842,parallel,manhattan,merge
30000,150,2,5,0.064744,1.178489,serial,manhattan,merge
30000,150,2,5,0.036536,0.090124,parallel,manhattan,merge
30000,250,2,5,0.104598,1.849724,serial,manhattan,merge
30000,250,2,5,0.031406,0.141365,parallel,manhattan,merge
30000,350,2,5,0.173639,2.653542,serial,manhattan,merge
30000,350,2,5,0.040653,0.178748,parallel,manhattan,merge
30000,450,2,5,0.197812,3.923817,serial,manhattan,merge
30000,450,2,5,0.054905,0.242052,parallel,manhattan,merge
200,50,2,5,0.001175,0.010751,serial,euclidean,insertion
200,50,2,5,0.003129,0.000545,parallel,euclidean,insertion
200,150,2,5,0.001861,0.016199,serial,euclidean,insertion
200,150,2,5,0.000418,0.001948,parallel,euclidean,insertion
200,250,2,5,0.002806,0.026614,serial,euclidean,insertion
200,250,2,5,0.000566,0.003162,parallel,euclidean,insertion
200,350,2,5,0.003520,0.037064,serial,euclidean,insertion
200,350,2,5,0.000716,0.004318,parallel,euclidean,insertion
200,450,2,5,0.004230,0.035964,serial,euclidean,insertion
200,450,2,5,0.000808,0.005730,parallel,euclidean,insertion
300,50,2,5,0.000853,0.010175,serial,euclidean,insertion
300,50,2,5,0.000222,0.001351,parallel,euclidean,insertion
300,150,2,5,0.002363,0.026948,serial,euclidean,insertion
300,150,2,5,0.000439,0.004088,parallel,euclidean,insertion
300,250,2,5,0.003365,0.044627,serial,euclidean,insertion
300,250,2,5,0.006142,0.009099,parallel,euclidean,insertion
300,350,2,5,0.004834,0.083204,serial,euclidean,insertion
300,350,2,5,0.004437,0.019149,parallel,euclidean,insertion
300,450,2,5,0.005129,0.107029,serial,euclidean,insertion
300,450,2,5,0.008219,0.020044,parallel,euclidean,insertion
400,50,2,5,0.001266,0.021546,serial,euclidean,insertion
400,50,2,5,0.002809,0.005281,parallel,euclidean,insertion
400,150,2,5,0.004356,0.065032,serial,euclidean,insertion
400,150,2,5,0.005871,0.013971,parallel,euclidean,insertion
400,250,2,5,0.003743,0.105617,serial,euclidean,insertion
400,250,2,5,0.007024,0.019838,parallel,euclidean,insertion
400,350,2,5,0.006030,0.149699,serial,euclidean,insertion
400,350,2,5,0.017536,0.023593,parallel,euclidean,insertion
400,450,2,5,0.007432,0.191542,serial,euclidean,insertion
400,450,2,5,0.011255,0.021661,parallel,euclidean,insertion
500,50,2,5,0.001505,0.032890,serial,euclidean,insertion
500,50,2,5,0.002976,0.005853,parallel,euclidean,insertion
500,150,2,5,0.004763,0.099270,serial,euclidean,insertion
500,150,2,5,0.005600,0.012939,parallel,euclidean,insertion
500,250,2,5,0.005437,0.162812,serial,euclidean,insertion
500,250,2,5,0.011589,0.038293,parallel,euclidean,insertion
500,350,2,5,0.007408,0.228081,serial,euclidean,insertion
500,350,2,5,0.012292,0.023359,parallel,euclidean,insertion
500,450,2,5,0.009155,0.287797,serial,euclidean,insertion
500,450,2,5,0.019391,0.027918,parallel,euclidean,insertion
600,50,2,5,0.001835,0.047037,serial,euclidean,insertion
600,50,2,5,0.002524,0.007215,parallel,euclidean,insertion
600,150,2,5,0.005044,0.139692,serial,euclidean,insertion
600,150,2,5,0.004701,0.026638,parallel,euclidean,insertion
600,250,2,5,0.006457,0.233711,serial,euclidean,insertion
600,250,2,5,0.016851,0.021730,parallel,euclidean,insertion
600,350,2,5,0.008452,0.305830,serial,euclidean,insertion
600,350,2,5,0.008279,0.035245,parallel,euclidean,insertion
600,450,2,5,0.010350,0.368854,serial,euclidean,insertion
600,450,2,5,0.015354,0.035719,parallel,euclidean,insertion
200,50,2,5,0.000292,0.005977,serial,manhattan,insertion
200,50,2,5,0.002651,0.004643,parallel,manhattan,insertion
200,150,2,5,0.000853,0.016524,serial,manhattan,insertion
200,150,2,5,0.000627,0.001489,parallel,manhattan,insertion
200,250,2,5,0.001422,0.026888,serial,manhattan,insertion
200,250,2,5,0.003908,0.009220,parallel,manhattan,insertion
200,350,2,5,0.001915,0.037207,serial,manhattan,insertion
200,350,2,5,0.005117,0.012545,parallel,manhattan,insertion
200,450,2,5,0.001903,0.047697,serial,manhattan,insertion
200,450,2,5,0.008671,0.012683,parallel,manhattan,insertion
300,50,2,5,0.000561,0.014481,serial,manhattan,insertion
300,50,2,5,0.002592,0.003596,parallel,manhattan,insertion
